time,energy.y,superCap.capacitor.v
142.6,-133198.8153,41.98744966
142.61,-133198.8153,41.98744879
142.62,-133198.8153,41.98744791
142.63,-133198.8153,41.98744704
142.64,-133198.8153,41.98744616
142.65,-133198.8153,41.98744529
142.66,-133198.8153,41.98744441
142.67,-133198.8153,41.98744354
142.68,-133198.8153,41.98744267
142.69,-133198.8153,41.98744179
142.7,-133198.8153,41.98744092
142.71,-133198.8153,41.98744004
142.72,-133198.8153,41.98743917
142.73,-133198.8153,41.98743829
142.74,-133198.8153,41.98743742
142.75,-133198.8153,41.98743654
142.76,-133198.8153,41.98743567
142.77,-133198.8153,41.98743479
142.78,-133198.8153,41.98743392
142.79,-133198.8153,41.98743304
142.8,-133198.8153,41.98743217
142.81,-133198.8153,41.98743129
142.82,-133198.8153,41.98743042
142.83,-133198.8153,41.98742954
142.84,-133198.8153,41.98742867
142.85,-133198.8153,41.98742779
142.86,-133198.8153,41.98742692
142.87,-133198.8153,41.98742605
142.88,-133198.8153,41.98742517
142.89,-133198.8153,41.9874243
142.9,-133198.8153,41.98742342
142.91,-133198.8153,41.98742255
142.92,-133198.8153,41.98742167
142.93,-133198.8153,41.9874208
142.94,-133198.8153,41.98741992
142.95,-133198.8153,41.98741905
142.96,-133198.8153,41.98741817
142.97,-133198.8153,41.9874173
142.98,-133198.8153,41.98741642
142.99,-133198.8153,41.98741555
143,-133198.8153,41.98741467
143.01,-133198.8153,41.9874138
143.02,-133198.8153,41.98741292
